year,session,field,subject,topic,total_question_count,avg_confidence_score,easy_count,medium_count,hard_count,unknown_count,is_zero_filled,target_confidence_score
2018,AYT,ESIT_AGIRLIK,Coğrafya-1,Uluslararası Örgütler,0,0.0,0.0,0.0,0.0,0.0,True,0.0
2019,AYT,ESIT_AGIRLIK,Coğrafya-1,Uluslararası Örgütler,1,0.95,0.0,1.0,0.0,0.0,False,0.95
2020,AYT,ESIT_AGIRLIK,Coğrafya-1,Uluslararası Örgütler,1,0.95,0.0,1.0,0.0,0.0,False,0.95
2021,AYT,ESIT_AGIRLIK,Coğrafya-1,Uluslararası Örgütler,0,0.0,0.0,0.0,0.0,0.0,True,0.0
2022,AYT,ESIT_AGIRLIK,Coğrafya-1,Uluslararası Örgütler,0,0.0,0.0,0.0,0.0,0.0,True,0.0
2023,AYT,ESIT_AGIRLIK,Coğrafya-1,Uluslararası Örgütler,1,0.95,0.0,1.0,0.0,0.0,False,0.95
2024,AYT,ESIT_AGIRLIK,Coğrafya-1,Uluslararası Örgütler,0,0.0,0.0,0.0,0.0,0.0,True,0.0
2025,AYT,ESIT_AGIRLIK,Coğrafya-1,Uluslararası Örgütler,0,0.0,0.0,0.0,0.0,0.0,True,0.0
2018,AYT,ESIT_AGIRLIK,Coğrafya-1,Çevre Sorunları ve Geri Dönüşüm,1,0.95,0.0,1.0,0.0,0.0,False,0.95
2019,AYT,ESIT_AGIRLIK,Coğrafya-1,Çevre Sorunları ve Geri Dönüşüm,1,0.95,0.0,1.0,0.0,0.0,False,0.95
2020,AYT,ESIT_AGIRLIK,Coğrafya-1,Çevre Sorunları ve Geri Dönüşüm,1,0.95,0.0,1.0,0.0,0.0,False,0.95
2021,AYT,ESIT_AGIRLIK,Coğrafya-1,Çevre Sorunları ve Geri Dönüşüm,1,0.95,0.0,1.0,0.0,0.0,False,0.95
2022,AYT,ESIT_AGIRLIK,Coğrafya-1,Çevre Sorunları ve Geri Dönüşüm,0,0.0,0.0,0.0,0.0,0.0,True,0.0
2023,AYT,ESIT_AGIRLIK,Coğrafya-1,Çevre Sorunları ve Geri Dönüşüm,1,0.95,0.0,1.0,0.0,0.0,False,0.95
2024,AYT,ESIT_AGIRLIK,Coğrafya-1,Çevre Sorunları ve Geri Dönüşüm,2,0.95,0.0,2.0,0.0,0.0,False,0.95
2025,AYT,ESIT_AGIRLIK,Coğrafya-1,Çevre Sorunları ve Geri Dönüşüm,0,0.0,0.0,0.0,0.0,0.0,True,0.0
2018,AYT,ESIT_AGIRLIK,Coğrafya-1,Çevre Sorunlarının Çözümüne Yönelik Yaklaşımlar,0,0.0,0.0,0.0,0.0,0.0,True,0.0
2019,AYT,ESIT_AGIRLIK,Coğrafya-1,Çevre Sorunlarının Çözümüne Yönelik Yaklaşımlar,0,0.0,0.0,0.0,0.0,0.0,True,0.0
2020,AYT,ESIT_AGIRLIK,Coğrafya-1,Çevre Sorunlarının Çözümüne Yönelik Yaklaşımlar,0,0.0,0.0,0.0,0.0,0.0,True,0.0
2021,AYT,ESIT_AGIRLIK,Coğrafya-1,Çevre Sorunlarının Çözümüne Yönelik Yaklaşımlar,0,0.0,0.0,0.0,0.0,0.0,True,0.0
2022,AYT,ESIT_AGIRLIK,Coğrafya-1,Çevre Sorunlarının Çözümüne Yönelik Yaklaşımlar,0,0.0,0.0,0.0,0.0,0.0,True,0.0
2023,AYT,ESIT_AGIRLIK,Coğrafya-1,Çevre Sorunlarının Çözümüne Yönelik Yaklaşımlar,0,0.0,0.0,0.0,0.0,0.0,True,0.0
2024,AYT,ESIT_AGIRLIK,Coğrafya-1,Çevre Sorunlarının Çözümüne Yönelik Yaklaşımlar,1,0.95,0.0,1.0,0.0,0.0,False,0.95
2025,AYT,ESIT_AGIRLIK,Coğrafya-1,Çevre Sorunlarının Çözümüne Yönelik Yaklaşımlar,0,0.0,0.0,0.0,0.0,0.0,True,0.0
2018,AYT,ESIT_AGIRLIK,Coğrafya-1,Ülkeler Arası Etkileşim,0,0.0,0.0,0.0,0.0,0.0,True,0.0
