year,session,field,subject,topic,total_question_count,avg_confidence_score,easy_count,medium_count,hard_count,unknown_count,is_zero_filled,target_confidence_score
2020,AYT,ESIT_AGIRLIK,Coğrafya-1,Hizmet Sektörünün Ekonomideki Yeri ve Ulaşım,0,0.0,0.0,0.0,0.0,0.0,True,0.0
2021,AYT,ESIT_AGIRLIK,Coğrafya-1,Hizmet Sektörünün Ekonomideki Yeri ve Ulaşım,0,0.0,0.0,0.0,0.0,0.0,True,0.0
2022,AYT,ESIT_AGIRLIK,Coğrafya-1,Hizmet Sektörünün Ekonomideki Yeri ve Ulaşım,1,0.95,0.0,1.0,0.0,0.0,False,0.95
2023,AYT,ESIT_AGIRLIK,Coğrafya-1,Hizmet Sektörünün Ekonomideki Yeri ve Ulaşım,0,0.0,0.0,0.0,0.0,0.0,True,0.0
2024,AYT,ESIT_AGIRLIK,Coğrafya-1,Hizmet Sektörünün Ekonomideki Yeri ve Ulaşım,0,0.0,0.0,0.0,0.0,0.0,True,0.0
2025,AYT,ESIT_AGIRLIK,Coğrafya-1,Hizmet Sektörünün Ekonomideki Yeri ve Ulaşım,0,0.0,0.0,0.0,0.0,0.0,True,0.0
2018,AYT,ESIT_AGIRLIK,Coğrafya-1,Jeopolitik Konum,0,0.0,0.0,0.0,0.0,0.0,True,0.0
2019,AYT,ESIT_AGIRLIK,Coğrafya-1,Jeopolitik Konum,0,0.0,0.0,0.0,0.0,0.0,True,0.0
2020,AYT,ESIT_AGIRLIK,Coğrafya-1,Jeopolitik Konum,0,0.0,0.0,0.0,0.0,0.0,True,0.0
2021,AYT,ESIT_AGIRLIK,Coğrafya-1,Jeopolitik Konum,0,0.0,0.0,0.0,0.0,0.0,True,0.0
2022,AYT,ESIT_AGIRLIK,Coğrafya-1,Jeopolitik Konum,0,0.0,0.0,0.0,0.0,0.0,True,0.0
2023,AYT,ESIT_AGIRLIK,Coğrafya-1,Jeopolitik Konum,0,0.0,0.0,0.0,0.0,0.0,True,0.0
2024,AYT,ESIT_AGIRLIK,Coğrafya-1,Jeopolitik Konum,0,0.0,0.0,0.0,0.0,0.0,True,0.0
2025,AYT,ESIT_AGIRLIK,Coğrafya-1,Jeopolitik Konum,1,0.95,0.0,1.0,0.0,0.0,False,0.95
2018,AYT,ESIT_AGIRLIK,Coğrafya-1,Kültür Bölgeleri ve Türk Kültürü,0,0.0,0.0,0.0,0.0,0.0,True,0.0
2019,AYT,ESIT_AGIRLIK,Coğrafya-1,Kültür Bölgeleri ve Türk Kültürü,0,0.0,0.0,0.0,0.0,0.0,True,0.0
2020,AYT,ESIT_AGIRLIK,Coğrafya-1,Kültür Bölgeleri ve Türk Kültürü,0,0.0,0.0,0.0,0.0,0.0,True,0.0
2021,AYT,ESIT_AGIRLIK,Coğrafya-1,Kültür Bölgeleri ve Türk Kültürü,0,0.0,0.0,0.0,0.0,0.0,True,0.0
2022,AYT,ESIT_AGIRLIK,Coğrafya-1,Kültür Bölgeleri ve Türk Kültürü,1,0.95,0.0,1.0,0.0,0.0,False,0.95
2023,AYT,ESIT_AGIRLIK,Coğrafya-1,Kültür Bölgeleri ve Türk Kültürü,0,0.0,0.0,0.0,0.0,0.0,True,0.0
2024,AYT,ESIT_AGIRLIK,Coğrafya-1,Kültür Bölgeleri ve Türk Kültürü,1,0.95,0.0,1.0,0.0,0.0,False,0.95
2025,AYT,ESIT_AGIRLIK,Coğrafya-1,Kültür Bölgeleri ve Türk Kültürü,1,0.95,0.0,1.0,0.0,0.0,False,0.95
2018,AYT,ESIT_AGIRLIK,Coğrafya-1,Küresel İklim Değişikliği ve Doğa Olaylarının Geleceği,0,0.0,0.0,0.0,0.0,0.0,True,0.0
2019,AYT,ESIT_AGIRLIK,Coğrafya-1,Küresel İklim Değişikliği ve Doğa Olaylarının Geleceği,0,0.0,0.0,0.0,0.0,0.0,True,0.0
2020,AYT,ESIT_AGIRLIK,Coğrafya-1,Küresel İklim Değişikliği ve Doğa Olaylarının Geleceği,0,0.0,0.0,0.0,0.0,0.0,True,0.0
2021,AYT,ESIT_AGIRLIK,Coğrafya-1,Küresel İklim Değişikliği ve Doğa Olaylarının Geleceği,0,0.0,0.0,0.0,0.0,0.0,True,0.0
2022,AYT,ESIT_AGIRLIK,Coğrafya-1,Küresel İklim Değişikliği ve Doğa Olaylarının Geleceği,1,0.95,0.0,1.0,0.0,0.0,False,0.95
2023,AYT,ESIT_AGIRLIK,Coğrafya-1,Küresel İklim Değişikliği ve Doğa Olaylarının Geleceği,0,0.0,0.0,0.0,0.0,0.0,True,0.0
2024,AYT,ESIT_AGIRLIK,Coğrafya-1,Küresel İklim Değişikliği ve Doğa Olaylarının Geleceği,0,0.0,0.0,0.0,0.0,0.0,True,0.0
2025,AYT,ESIT_AGIRLIK,Coğrafya-1,Küresel İklim Değişikliği ve Doğa Olaylarının Geleceği,0,0.0,0.0,0.0,0.0,0.0,True,0.0
2018,AYT,ESIT_AGIRLIK,Coğrafya-1,Küreselleşen Dünya,0,0.0,0.0,0.0,0.0,0.0,True,0.0
2019,AYT,ESIT_AGIRLIK,Coğrafya-1,Küreselleşen Dünya,0,0.0,0.0,0.0,0.0,0.0,True,0.0
2020,AYT,ESIT_AGIRLIK,Coğrafya-1,Küreselleşen Dünya,0,0.0,0.0,0.0,0.0,0.0,True,0.0
2021,AYT,ESIT_AGIRLIK,Coğrafya-1,Küreselleşen Dünya,1,0.95,0.0,1.0,0.0,0.0,False,0.95
2022,AYT,ESIT_AGIRLIK,Coğrafya-1,Küreselleşen Dünya,0,0.0,0.0,0.0,0.0,0.0,True,0.0
2023,AYT,ESIT_AGIRLIK,Coğrafya-1,Küreselleşen Dünya,0,0.0,0.0,0.0,0.0,0.0,True,0.0
2024,AYT,ESIT_AGIRLIK,Coğrafya-1,Küreselleşen Dünya,0,0.0,0.0,0.0,0.0,0.0,True,0.0
2025,AYT,ESIT_AGIRLIK,Coğrafya-1,Küreselleşen Dünya,0,0.0,0.0,0.0,0.0,0.0,True,0.0
2018,AYT,ESIT_AGIRLIK,Coğrafya-1,Nüfus Politikaları ve Projeksiyonları,0,0.0,0.0,0.0,0.0,0.0,True,0.0
2019,AYT,ESIT_AGIRLIK,Coğrafya-1,Nüfus Politikaları ve Projeksiyonları,0,0.0,0.0,0.0,0.0,0.0,True,0.0
2020,AYT,ESIT_AGIRLIK,Coğrafya-1,Nüfus Politikaları ve Projeksiyonları,1,0.95,0.0,1.0,0.0,0.0,False,0.95
2021,AYT,ESIT_AGIRLIK,Coğrafya-1,Nüfus Politikaları ve Projeksiyonları,0,0.0,0.0,0.0,0.0,0.0,True,0.0
2022,AYT,ESIT_AGIRLIK,Coğrafya-1,Nüfus Politikaları ve Projeksiyonları,0,0.0,0.0,0.0,0.0,0.0,True,0.0
2023,AYT,ESIT_AGIRLIK,Coğrafya-1,Nüfus Politikaları ve Projeksiyonları,0,0.0,0.0,0.0,0.0,0.0,True,0.0
2024,AYT,ESIT_AGIRLIK,Coğrafya-1,Nüfus Politikaları ve Projeksiyonları,1,0.95,0.0,1.0,0.0,0.0,False,0.95
2025,AYT,ESIT_AGIRLIK,Coğrafya-1,Nüfus Politikaları ve Projeksiyonları,0,0.0,0.0,0.0,0.0,0.0,True,0.0
2018,AYT,ESIT_AGIRLIK,Coğrafya-1,"Türkiye’de Tarım, Sanayi, Maden ve Enerji Kaynakları",1,0.95,0.0,1.0,0.0,0.0,False,0.95
2019,AYT,ESIT_AGIRLIK,Coğrafya-1,"Türkiye’de Tarım, Sanayi, Maden ve Enerji Kaynakları",1,0.95,0.0,1.0,0.0,0.0,False,0.95
2020,AYT,ESIT_AGIRLIK,Coğrafya-1,"Türkiye’de Tarım, Sanayi, Maden ve Enerji Kaynakları",0,0.0,0.0,0.0,0.0,0.0,True,0.0
2021,AYT,ESIT_AGIRLIK,Coğrafya-1,"Türkiye’de Tarım, Sanayi, Maden ve Enerji Kaynakları",0,0.0,0.0,0.0,0.0,0.0,True,0.0
2022,AYT,ESIT_AGIRLIK,Coğrafya-1,"Türkiye’de Tarım, Sanayi, Maden ve Enerji Kaynakları",0,0.0,0.0,0.0,0.0,0.0,True,0.0
2023,AYT,ESIT_AGIRLIK,Coğrafya-1,"Türkiye’de Tarım, Sanayi, Maden ve Enerji Kaynakları",1,0.95,0.0,1.0,0.0,0.0,False,0.95
2024,AYT,ESIT_AGIRLIK,Coğrafya-1,"Türkiye’de Tarım, Sanayi, Maden ve Enerji Kaynakları",0,0.0,0.0,0.0,0.0,0.0,True,0.0
2025,AYT,ESIT_AGIRLIK,Coğrafya-1,"Türkiye’de Tarım, Sanayi, Maden ve Enerji Kaynakları",1,0.95,0.0,1.0,0.0,0.0,False,0.95
2018,AYT,ESIT_AGIRLIK,Coğrafya-1,Türkiye’de Turizm,1,0.95,0.0,1.0,0.0,0.0,False,0.95
2019,AYT,ESIT_AGIRLIK,Coğrafya-1,Türkiye’de Turizm,0,0.0,0.0,0.0,0.0,0.0,True,0.0
2020,AYT,ESIT_AGIRLIK,Coğrafya-1,Türkiye’de Turizm,0,0.0,0.0,0.0,0.0,0.0,True,0.0
2021,AYT,ESIT_AGIRLIK,Coğrafya-1,Türkiye’de Turizm,1,0.95,0.0,1.0,0.0,0.0,False,0.95
2022,AYT,ESIT_AGIRLIK,Coğrafya-1,Türkiye’de Turizm,0,0.0,0.0,0.0,0.0,0.0,True,0.0
2023,AYT,ESIT_AGIRLIK,Coğrafya-1,Türkiye’de Turizm,0,0.0,0.0,0.0,0.0,0.0,True,0.0
2024,AYT,ESIT_AGIRLIK,Coğrafya-1,Türkiye’de Turizm,0,0.0,0.0,0.0,0.0,0.0,True,0.0
2025,AYT,ESIT_AGIRLIK,Coğrafya-1,Türkiye’de Turizm,1,0.95,0.0,1.0,0.0,0.0,False,0.95
2018,AYT,ESIT_AGIRLIK,Coğrafya-1,Türkiye’de ve Dünyada Ticaret,1,0.95,0.0,1.0,0.0,0.0,False,0.95
2019,AYT,ESIT_AGIRLIK,Coğrafya-1,Türkiye’de ve Dünyada Ticaret,0,0.0,0.0,0.0,0.0,0.0,True,0.0
2020,AYT,ESIT_AGIRLIK,Coğrafya-1,Türkiye’de ve Dünyada Ticaret,0,0.0,0.0,0.0,0.0,0.0,True,0.0
2021,AYT,ESIT_AGIRLIK,Coğrafya-1,Türkiye’de ve Dünyada Ticaret,0,0.0,0.0,0.0,0.0,0.0,True,0.0
2022,AYT,ESIT_AGIRLIK,Coğrafya-1,Türkiye’de ve Dünyada Ticaret,0,0.0,0.0,0.0,0.0,0.0,True,0.0
2023,AYT,ESIT_AGIRLIK,Coğrafya-1,Türkiye’de ve Dünyada Ticaret,0,0.0,0.0,0.0,0.0,0.0,True,0.0
2024,AYT,ESIT_AGIRLIK,Coğrafya-1,Türkiye’de ve Dünyada Ticaret,0,0.0,0.0,0.0,0.0,0.0,True,0.0
2025,AYT,ESIT_AGIRLIK,Coğrafya-1,Türkiye’de ve Dünyada Ticaret,0,0.0,0.0,0.0,0.0,0.0,True,0.0
