id,year,exam,session,field,branch,subject,topic,subtopic,question_no,question_count,difficulty_level,is_common,source_type,source_note,confidence_score,label_note
35,2024,YKS,TYT,ALL,Türkçe,Türkçe,Cümlede Anlam,,3,1,MEDIUM,true,WEB_SCRAPED,2024 TYT konu dağılımı (universitego.com),0.95,
36,2023,YKS,TYT,ALL,Türkçe,Türkçe,Cümlede Anlam,,1,1,MEDIUM,true,WEB_SCRAPED,2023 TYT konu dağılımı (universitego.com),0.95,
37,2023,YKS,TYT,ALL,Türkçe,Türkçe,Cümlede Anlam,,2,1,MEDIUM,true,WEB_SCRAPED,2023 TYT konu dağılımı (universitego.com),0.95,
38,2023,YKS,TYT,ALL,Türkçe,Türkçe,Cümlede Anlam,,3,1,MEDIUM,true,WEB_SCRAPED,2023 TYT konu dağılımı (universitego.com),0.95,
39,2023,YKS,TYT,ALL,Türkçe,Türkçe,Cümlede Anlam,,4,1,MEDIUM,true,WEB_SCRAPED,2023 TYT konu dağılımı (universitego.com),0.95,
40,2022,YKS,TYT,ALL,Türkçe,Türkçe,Cümlede Anlam,,1,1,MEDIUM,true,WEB_SCRAPED,2022 TYT konu dağılımı (universitego.com),0.95,
41,2022,YKS,TYT,ALL,Türkçe,Türkçe,Cümlede Anlam,,2,1,MEDIUM,true,WEB_SCRAPED,2022 TYT konu dağılımı (universitego.com),0.95,
42,2022,YKS,TYT,ALL,Türkçe,Türkçe,Cümlede Anlam,,3,1,MEDIUM,true,WEB_SCRAPED,2022 TYT konu dağılımı (universitego.com),0.95,
43,2021,YKS,TYT,ALL,Türkçe,Türkçe,Cümlede Anlam,,1,1,MEDIUM,true,WEB_SCRAPED,2021 TYT konu dağılımı (universitego.com),0.95,
44,2021,YKS,TYT,ALL,Türkçe,Türkçe,Cümlede Anlam,,2,1,MEDIUM,true,WEB_SCRAPED,2021 TYT konu dağılımı (universitego.com),0.95,
45,2021,YKS,TYT,ALL,Türkçe,Türkçe,Cümlede Anlam,,3,1,MEDIUM,true,WEB_SCRAPED,2021 TYT konu dağılımı (universitego.com),0.95,
46,2020,YKS,TYT,ALL,Türkçe,Türkçe,Cümlede Anlam,,1,1,MEDIUM,true,WEB_SCRAPED,2020 TYT konu dağılımı (universitego.com),0.95,
47,2020,YKS,TYT,ALL,Türkçe,Türkçe,Cümlede Anlam,,2,1,MEDIUM,true,WEB_SCRAPED,2020 TYT konu dağılımı (universitego.com),0.95,
48,2020,YKS,TYT,ALL,Türkçe,Türkçe,Cümlede Anlam,,3,1,MEDIUM,true,WEB_SCRAPED,2020 TYT konu dağılımı (universitego.com),0.95,
49,2019,YKS,TYT,ALL,Türkçe,Türkçe,Cümlede Anlam,,1,1,MEDIUM,true,WEB_SCRAPED,2019 TYT konu dağılımı (universitego.com),0.95,
50,2019,YKS,TYT,ALL,Türkçe,Türkçe,Cümlede Anlam,,2,1,MEDIUM,true,WEB_SCRAPED,2019 TYT konu dağılımı (universitego.com),0.95,
51,2019,YKS,TYT,ALL,Türkçe,Türkçe,Cümlede Anlam,,3,1,MEDIUM,true,WEB_SCRAPED,2019 TYT konu dağılımı (universitego.com),0.95,
52,2018,YKS,TYT,ALL,Türkçe,Türkçe,Cümlede Anlam,,1,1,MEDIUM,true,WEB_SCRAPED,2018 TYT konu dağılımı (universitego.com),0.95,
53,2018,YKS,TYT,ALL,Türkçe,Türkçe,Cümlede Anlam,,2,1,MEDIUM,true,WEB_SCRAPED,2018 TYT konu dağılımı (universitego.com),0.95,
54,2018,YKS,TYT,ALL,Türkçe,Türkçe,Cümlede Anlam,,3,1,MEDIUM,true,WEB_SCRAPED,2018 TYT konu dağılımı (universitego.com),0.95,
55,2025,YKS,TYT,ALL,Türkçe,Türkçe,Paragrafın Yapısı,,1,1,MEDIUM,true,WEB_SCRAPED,2025 TYT konu dağılımı (universitego.com),0.95,
